epoch,datetime,duration,total_reward,ball_x,ball_y,ball_mass_g,terminated,truncated,total_reward_per_L1_dist
1,10/29 11:09:21,5000,-35033.082087443705,0.13183613121509552,0.01171542052179575,8.674439688169507,False,True,-244045.296875
2,10/29 11:09:41,5000,-34433.757246759225,-0.131196990609169,-0.0028699785470962524,3.964688021622564,False,True,-256839.984375
3,10/29 11:09:58,5000,-39772.03904373627,0.061655282974243164,0.12679001688957214,18.73042952662914,False,True,-211053.5
4,10/29 11:10:15,5000,-1031.642182452593,0.007507495116442442,0.021533850580453873,29.148844205493795,False,True,-35523.22265625
5,10/29 11:10:24,5000,-30628.097188269556,0.07286494225263596,-0.10002633929252625,10.937295554216742,False,True,-1127633.375
6,10/29 11:10:33,5000,-19949.127159919517,-0.03258407115936279,-0.09442465752363205,8.179764315153742,False,True,-157068.9375
7,10/29 11:10:43,1401,-66424.70742191112,-0.09345679730176926,-0.09434015303850174,12.74703697348243,False,True,-353704.9375
8,10/29 11:10:45,263,-50815.619063149636,0.13375477492809296,0.0586361363530159,12.733118747864088,False,True,-264126.90625
9,10/29 11:10:58,1932,-60815.448696614825,-0.038889069110155106,0.043244555592536926,2.218226122608344,False,True,-13962952.0
10,10/29 11:11:02,532,-59133.542828968806,-0.10077778249979019,0.05436982214450836,19.67862583510195,False,True,-1274211.25
11,10/29 11:11:42,5000,-469.3518726801587,-0.006267733406275511,-0.019140230491757393,4.762633891764707,False,True,-18472.626953125
12,10/29 11:12:24,3248,-39714.888269578645,0.04156693071126938,0.12019917368888855,19.85744545376366,False,True,-245508.078125
13,10/29 11:13:02,5000,-28608.740641876866,-0.03446207195520401,-0.13326554000377655,18.22363968916485,False,True,-170566.65625
14,10/29 11:13:43,5000,-19393.86088171108,0.03634249418973923,-0.09269493073225021,4.721967797121733,False,True,-344153.03125
15,10/29 11:14:20,5000,-36274.92972141442,-0.10785234719514847,0.07957252860069275,25.4155740724801,False,True,-1282714.375
16,10/29 11:15:12,5000,-29763.81653404356,-0.12069935351610184,0.01779843308031559,12.698699986846872,False,True,-289247.3125
17,10/29 11:16:45,5000,-23001.454593774168,-0.0756831243634224,0.07600638270378113,2.5197993435160777,False,True,-71155024.0
18,10/29 11:17:29,3000,20695.20229331904,0.007502387277781963,-0.001319125876761973,14.15960115503835,True,False,3346972.0
19,10/29 11:18:03,5000,-38906.70576033482,0.12015023082494736,-0.07108645886182785,24.47975192275625,False,True,-792982.375
20,10/29 11:18:41,5000,-27437.242651561683,0.10994131118059158,-0.04043900966644287,2.820562234580112,False,True,-394767.375
21,10/29 11:19:56,1852,-53517.62031751855,0.07380124181509018,-0.02972927689552307,12.527706657926824,False,True,-1214323.5
22,10/29 11:20:54,5000,-1925.149642372787,0.014938280917704105,0.028491945937275887,6.654092719537524,False,True,-44327.4140625
23,10/29 11:21:17,1714,-52162.9906286307,0.07954899966716766,0.04742251709103584,25.262627425482545,False,True,-410824.375
24,10/29 11:22:25,5000,-41439.28757867469,-0.11892383545637131,0.13017906248569489,27.611524716495506,False,True,-3681781.75
25,10/29 11:23:39,5000,-23442.116430808197,-0.10837791860103607,-0.0003784828004427254,20.50723353345252,False,True,-215547.015625
26,10/29 11:24:45,5000,-5133.402938591853,-0.043119121342897415,0.02678273431956768,17.274794963431557,False,True,-314231.21875
27,10/29 11:25:54,5000,-11212.095642640206,-0.04324908182024956,0.06120293214917183,16.18051101935916,False,True,-624495.3125
28,10/29 11:27:26,5000,-50910.61212474675,-0.11566613614559174,-0.10991082340478897,7.419417654904976,False,True,-225690.65625
29,10/29 11:28:31,5000,-38672.92107811039,-0.0485234409570694,-0.13031278550624847,6.729707497131338,False,True,-216247.703125
